 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
110001 Alta Floresta D'Oeste;13231;12346;25577
110037 Alto Alegre dos Parecis;7271;6668;13939
110040 Alto Paraíso;10506;9703;20209
110034 Alvorada D'Oeste;8753;8309;17062
110002 Ariquemes;52596;51800;104396
110045 Buritis;19288;18549;37837
110003 Cabixi;3239;3118;6357
110060 Cacaulândia;3259;3108;6367
110004 Cacoal;43369;43858;87227
110070 Campo Novo de Rondônia;7503;6714;14217
110080 Candeias do Jamari;12445;11706;24151
110090 Castanheiras;1814;1805;3619
110005 Cerejeiras;8977;9008;17985
110092 Chupinguaia;5304;4823;10127
110006 Colorado do Oeste;9461;9357;18818
110007 Corumbiara;4751;4088;8839
110008 Costa Marques;8799;7851;16650
110094 Cujubim;11068;9905;20973
110009 Espigão D'Oeste;16437;15945;32382
110100 Governador Jorge Teixeira;5167;4957;10124
110010 Guajará-Mirim;23680;22950;46630
110110 Itapuã do Oeste;5374;4619;9993
110011 Jaru;27618;28121;55739
110012 Ji-Paraná;64989;65429;130418
110013 Machadinho D'Oeste;19601;17564;37165
110120 Ministro Andreazza;5522;5303;10825
110130 Mirante da Serra;6279;6080;12359
110140 Monte Negro;8334;7541;15875
110014 Nova Brasilândia D'Oeste;11087;10507;21594
110033 Nova Mamoré;14255;13339;27594
110143 Nova União;4151;3674;7825
110050 Novo Horizonte do Oeste;5332;4939;10271
110015 Ouro Preto do Oeste;19470;20453;39923
110145 Parecis;3088;2612;5700
110018 Pimenta Bueno;18971;18544;37515
110146 Pimenteiras do Oeste;1251;1172;2423
110020 Porto Velho;259267;243480;502747
110025 Presidente Médici;11374;11183;22557
110147 Primavera de Rondônia;1830;1668;3498
110026 Rio Crespo;2006;1739;3745
110028 Rolim de Moura;27909;28332;56241
110029 Santa Luzia D'Oeste;4396;4133;8529
110148 São Felipe D'Oeste;3090;3013;6103
110149 São Francisco do Guaporé;9834;9165;18999
110032 São Miguel do Guaporé;12359;11575;23934
110150 Seringueiras;6498;6082;12580
110155 Teixeirópolis;2566;2435;5001
110160 Theobroma;5958;5386;11344
110170 Urupá;6832;6462;13294
110175 Vale do Anari;5739;5110;10849
110180 Vale do Paraíso;4231;4002;8233
110030 Vilhena;45595;46208;91803
120001 Acrelândia;7238;6629;13867
120005 Assis Brasil;3409;3326;6735
120010 Brasiléia;12426;11421;23847
120013 Bujari;5001;4335;9336
120017 Capixaba;5551;4949;10500
120020 Cruzeiro do Sul;40784;40736;81520
120025 Epitaciolândia;8451;8285;16736
120030 Feijó;16891;15490;32381
120032 Jordão;3891;3615;7506
120033 Mâncio Lima;8836;8336;17172
120034 Manoel Urbano;4621;4017;8638
120035 Marechal Thaumaturgo;8891;8005;16896
120038 Plácido de Castro;9595;8562;18157
120080 Porto Acre;8801;7956;16757
120039 Porto Walter;5662;5099;10761
120040 Rio Branco;181792;188757;370549
120042 Rodrigues Alves;8847;8130;16977
120043 Santa Rosa do Purus;2962;2847;5809
120050 Sena Madureira;21796;19954;41750
120045 Senador Guiomard;10748;10436;21184
120060 Tarauacá;20131;18688;38819
120070 Xapuri;9099;8507;17606
130002 Alvarães;8316;7228;15544
130006 Amaturá;5667;5183;10850
130008 Anamã;6599;5721;12320
130010 Anori;10088;9204;19292
130014 Apuí;10966;9686;20652
130020 Atalaia do Norte;9404;8730;18134
130030 Autazes;19663;17367;37030
130040 Barcelos;14949;12484;27433
130050 Barreirinha;15998;14662;30660
130060 Benjamin Constant;20346;19138;39484
130063 Beruri;9591;8578;18169
130068 Boa Vista do Ramos;9549;8114;17663
130070 Boca do Acre;17364;16133;33497
130080 Borba;20597;18692;39289
130083 Caapiranga;6554;5865;12419
130090 Canutama;8388;6740;15128
130100 Carauari;14371;13507;27878
130110 Careiro;18981;17452;36433
130115 Careiro da Várzea;14808;13174;27982
130120 Coari;43975;39105;83080
130130 Codajás;14007;12767;26774
130140 Eirunepé;17601;16426;34027
130150 Envira;9618;9165;18783
130160 Fonte Boa;10918;9824;20742
130165 Guajará;8138;7684;15822
130170 Humaitá;27032;24273;51305
130180 Ipixuna;13735;13124;26859
130185 Iranduba;23706;22281;45987
130190 Itacoatiara;49727;47392;97119
130195 Itamarati;4398;3782;8180
130200 Itapiranga;4674;4276;8950
130210 Japurá;2738;2383;5121
130220 Juruá;6765;6433;13198
130230 Jutaí;8878;7705;16583
130240 Lábrea;22577;20690;43267
130250 Manacapuru;48043;46130;94173
130255 Manaquiri;14442;13973;28415
130260 Manaus;1008591;1049121;2057712
130270 Manicoré;27987;25067;53054
130280 Maraã;10072;8356;18428
130290 Maués;31594;28389;59983
130300 Nhamundá;10586;9771;20357
130310 Nova Olinda do Norte;18078;17078;35156
130320 Novo Airão;9241;8429;17670
130330 Novo Aripuanã;13102;11213;24315
130340 Parintins;57337;54240;111577
130350 Pauini;10198;9176;19374
130353 Presidente Figueiredo;17087;15725;32812
130356 Rio Preto da Eva;16069;14461;30530
130360 Santa Isabel do Rio Negro;11381;11024;22405
130370 Santo Antônio do Içá;12106;11580;23686
130380 São Gabriel da Cachoeira;22254;20839;43093
130390 São Paulo de Olivença;18945;17597;36542
130395 São Sebastião do Uatumã;6797;5986;12783
130400 Silves;4801;4280;9081
130406 Tabatinga;30709;30318;61027
130410 Tapauá;9728;8425;18153
130420 Tefé;32366;30075;62441
130423 Tonantins;9541;8936;18477
130426 Uarini;7140;5980;13120
130430 Urucará;8818;8348;17166
130440 Urucurituba;11276;9865;21141
140005 Alto Alegre;8608;7569;16177
140002 Amajari;5832;5174;11006
140010 Boa Vista;160372;160344;320716
140015 Bonfim;6420;5313;11733
140017 Cantá;8743;7407;16150
140020 Caracaraí;10819;9446;20265
140023 Caroebe;4867;4298;9165
140028 Iracema;5437;4884;10321
140030 Mucajaí;8853;7529;16382
140040 Normandia;5486;4660;10146
140045 Pacaraima;6171;5740;11911
140047 Rorainópolis;14759;12529;27288
140050 São João da Baliza;3961;3556;7517
140060 São Luiz;3987;3425;7412
140070 Uiramutã;4983;4502;9485
150010 Abaetetuba;76696;73158;149854
150013 Abel Figueiredo;3733;3369;7102
