Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
1100015;14.17;61.59;83.8;5.09;18.4;2;22.1;64.82;0.4;0.8;1
1100023;8.07;45.59;75.51;6.98;7.3;1.3;12.2;70.48;0.4;1.4;7
1100031;51.53;89.62;83.33;1.04;3.2;3.2;0;81.25;1.6;6.3;1
1100049;30.7;22.88;78.52;8.57;11.2;0.5;50.9;68.68;0.3;2.5;1
1100056;20.76;72.19;88.86;7.08;23.5;2.9;83.3;72.08;0.6;1.8;1
1100064;0;50.5;68.78;9.54;33.3;1.1;38.2;69.85;0.5;2.7;2
1100072;71.28;61.98;95.46;7.63;17.1;2.3;76.3;64.12;0;2.3;0
1100080;23.87;41.52;102.6;5.7;26.3;1.5;38;50.19;0.7;2.2;0
1100098;0;41.53;74.98;7.27;12.5;0.7;20.2;75.96;0.7;2.1;1
1100106;16.93;44.16;74.47;4.65;32.4;1;45.4;43.99;0.7;3.1;0
1100114;12.79;72.3;70.78;6.96;16.5;2.1;24.4;67.16;0.4;1.2;5
1100122;12.43;45.94;85.98;6.45;12.4;1.1;58.6;65.8;0.8;1.2;1
1100130;0;27.14;76.29;5.39;16.4;1.3;59.9;57.68;0.3;1.9;1
1100148;38.99;67.8;85.45;8.31;22.1;2.5;61.5;84.31;1.5;4;1
1100155;9.39;57.18;75.07;7.79;16.3;2.1;15.3;71.76;0.3;1.6;1
1100189;60.91;52.97;73.82;8.61;13.6;1.8;16.6;79.47;0.6;1.8;1
1100205;46.86;68.18;76.45;8.26;19.5;1.6;44.5;55.37;0.9;2;5
1100254;76.6;79.93;88.97;11.48;22;3.1;54.6;65.03;1.3;1.8;1
1100262;0;0;82.76;5.13;24.1;3;0;58.97;0;0;2
1100288;20.5;59.41;82.44;6.43;17;1.8;25.2;87.26;1.6;1;1
1100296;73.81;96.28;78.07;5.51;28.1;3.4;78.7;88.19;3.4;6.8;2
1100304;14.81;51.53;76.06;8.59;18;0.8;7.7;74.16;0.4;2.1;3
1100320;44.61;38.79;86.67;4.76;20.2;1.4;39.7;75.4;0.5;1.4;1
1100338;15.45;26.86;72.92;4.32;17.3;0.9;24;57.79;0.9;0.9;0
1100346;20.14;35.03;91.74;4.21;20.8;1.2;105.3;56.84;0.6;1.2;1
1100379;87.16;100;79.13;8.33;12.5;3.9;49;75.49;0;3.1;1
1100403;19.64;51.23;71.82;8.87;8.8;1.8;35.5;69.86;0;1.8;2
1100452;19.89;25.94;63.95;5.18;9.3;0.6;30.5;70.88;1.2;1.5;4
1100502;35.49;61.73;86.35;3.36;21.5;2;67.1;78.52;1;0;1
1100601;100;100;84.42;8.57;45.3;3.5;142.9;70;0;5.2;6
1100700;26.71;92.92;67.49;4.92;15;3.9;0;65.57;0;2.4;1
1100809;100;100;82.97;9.32;7.6;3;27.4;47.12;1;1;8
1100908;100;100;83.24;3.77;19.6;5.6;188.7;69.81;0;0;1
1100924;43.99;38.25;91.07;8.13;19.3;1.2;81.3;67.48;0;0;2
1100940;23.17;40.3;94.05;6.05;6.9;1.3;46.5;59.07;0.6;1.3;1
1101005;59.52;51.76;87.04;4.24;20;1.9;0;66.06;1;3.8;3
1101104;41.89;36.43;89.51;7.02;17.5;1.2;0;49.12;1.2;1.2;4
1101203;65.27;85.13;86.16;5.36;18.4;2.9;0;69.64;1.9;1.9;0
1101302;55.81;72.8;78.25;7.33;21;2.5;52.4;64.92;0.8;0.8;1
1101401;54.3;100;87.67;6.76;28.4;4.3;45;67.57;3.5;2.1;5
1101435;43.43;75.53;90.79;6.73;14.7;2.7;96.2;66.35;1.3;4;0
1101450;71.85;62.47;80.14;2.82;16.6;2.1;140.8;69.01;0;0;2
1101468;100;100;92.52;13.33;34.6;4.3;222.2;68.89;0;0;1
1101476;91.63;100;85.91;4.17;0;5.7;0;85.42;0;2.8;2
1101484;53.81;100;74.65;4;26.6;5;0;68;0;6.6;1
1101492;62.76;54.58;176.11;5.1;21.8;1.9;39.2;64.71;0;0.6;0
1101500;28.47;24.76;94.99;3.09;31;0.9;51.5;63.4;0.9;5.2;0
1101559;100;100;95.65;1.96;18.4;4.1;0;78.43;0;8.2;0
1101609;0;100;68.27;4.44;12.2;4.7;0;54.07;0;0;5
1101708;25.25;65.88;97.67;8.11;19.3;2.3;90.1;63.96;0;3.1;0
1101757;37.91;65.93;92.65;6.25;12.8;2.1;125;53.75;0;1.1;3
1101807;38.71;100;91.16;5.15;19.5;3.7;0;65.98;1.2;6.1;0
1200013;100;100;69.9;8.55;15.2;4;42.7;36.75;0;5.6;3
1200054;100;100;53.96;5.95;19.8;3.3;0;15.48;1.6;3.3;3
1200104;100;88.94;87.02;5.89;18.7;2.8;63.2;31.37;0.5;1.9;1
1200138;50.95;100;77.45;5.95;0;2.4;54.1;30.81;0;0;6
1200179;74.3;96.91;68.25;9.95;0;3.4;0;27.23;0;4.5;4
1200203;40.32;74.02;79.22;7.19;32.4;2.5;17.4;33.18;0.8;1.5;1
1200252;100;100;80.6;5.53;0;3.3;0;30.43;0;0;3
1200302;42.78;46.5;94.23;5.07;11.7;1.5;10.8;12.51;0.3;3.7;1
1200328;52.91;92.02;76.03;15.44;15.2;3;0;5.02;0;0;1
1200336;70.06;100;75.76;6.36;11.8;3.3;0;19.56;0;2;2
1200344;100;100;70.26;2.83;23.8;5;0;20.28;1.3;3.8;2
1200351;72.5;84.06;90.54;5.49;9.8;2.8;0;14.8;0;0.7;0
1200385;100;100;99.24;5.36;26.7;4.1;29.8;30.65;1.7;1.7;5
1200393;38.96;67.76;71.96;5.41;8.7;2.2;0;12.25;0;2.2;1
1200401;12.4;49.03;74.57;8.65;21.6;0.8;14;44.65;0.6;1.3;8
1200427;25.63;66.86;62.54;4.39;11.8;2.1;0;23.9;0;0;0
1200435;79.16;100;73.5;7.32;17.1;2.1;0;3.9;0;4.3;1
1200450;100;100;86.13;7.69;18.8;4;0;34.07;0.5;5.5;4
1200500;76.31;82.95;70.99;4.79;14.2;2.6;10.4;34.44;0.5;1.6;2
1200609;71.27;88.54;70.2;4.37;12.9;2.8;8.2;20.92;0.6;0.3;2
1200708;68.64;79.58;84.67;6.04;18;1.9;0;25.84;0.6;1.2;3
1200807;100;100;69.38;8.11;0;3.4;0;27.33;0;0;9
1300029;50.86;66.34;69.8;5.34;14.2;2.1;106.8;19.93;1.4;2.8;1
1300060;78.16;67.97;71.76;7.39;14.8;2.1;0;8.7;2.1;2.1;0
1300086;79.56;100;78;8.79;19.6;2.9;54.9;30.77;1;0;1
1300102;93.95;81.7;82.13;3.28;14.1;2.5;41;22.13;0.6;0;2
1300144;55.65;64.53;87.31;5.53;23.3;2.2;85.1;22.55;2.8;3.9;0
1300201;23.45;20.39;72.74;9.23;19.8;0.7;38.5;6.92;1.3;1.3;0
1300300;100;100;83.43;5.13;11.5;4;12.5;27.03;0.3;2.2;0
1300409;13.58;11.81;49.51;8.4;11.7;0.4;38.2;22.9;0.8;1.9;0
1300508;24.5;42.61;66.5;4.37;6.9;1.5;14.6;15.28;0.4;0;0
1300607;22.12;48.08;67.15;7.34;10.2;1.5;21.3;11.91;0.9;0.9;0
1300631;23.46;61.2;70.92;5.15;19.4;1.9;0;18.87;0;0;0
1300680;24.65;42.88;84.18;6.04;13.4;2;54.9;15.38;1.3;2.7;0
1300706;66.3;48.04;61.89;8.82;19.6;2;14.9;41.7;1.3;2.3;1
1300805;84.93;83.09;77.22;6.35;13.7;2.6;13.5;30.41;0.3;0.3;0
1300839;100;100;64.65;8.29;11.8;4.6;51.8;25.39;0.9;3.6;0
1300904;28.88;75.33;84.98;8.56;12.6;2.4;53.5;29.95;0.8;3.9;0
1301001;0;34.37;66.03;5.18;15.5;1.2;16.7;17.73;0.8;3.1;0
1301100;31.71;82.73;87.03;6.55;6.1;3.1;25.2;20.4;0.6;1.5;0
1301159;55.86;85.01;104.58;5.48;0;2.1;0;27.85;0;0;0
1301209;61.8;53.74;71.38;7.57;10.9;1.6;11.7;29.15;0.1;1.6;0
1301308;100;92.08;61.6;5.86;19;2.2;22.5;27.7;1.3;0.4;0
1301407;44.66;67.96;74.53;10.76;26.1;2.3;12.7;20.63;0.7;0.3;0
1301506;39.17;51.1;74.55;8.3;12.9;1.8;34.6;22.49;1.8;1.8;1
1301605;91.74;79.77;64.71;9.55;15.8;2.6;21.2;33.97;0.9;0.4;0
1301654;68.86;59.88;56.76;6.04;13.6;2.9;27.5;22.8;0.7;2.1;0
1301704;67.76;58.92;77.5;5.55;15.8;1.8;12.1;37.76;0.9;0.5;1
1301803;37.91;65.93;45.55;8.68;11.7;1.8;26.3;11.84;1.3;2.7;0
1301852;100;100;69.99;4.78;4.7;4.4;22.8;34.24;0.5;0;1
1301902;69.43;63.73;79.72;5.95;12.2;2.9;4.9;28.86;0.3;0.3;0
1301951;0;72.46;83.34;6.01;18.7;2.5;0;20.77;2.5;0;0
1302009;70.89;100;91.39;7.37;24.4;4.9;52.6;24.21;2.4;6.1;0
1302108;100;100;88.5;3.42;5.5;2.7;0;8.55;1.4;0;0
1302207;74.39;32.35;86.41;2.73;18.5;1.9;0;14.75;2.8;3.7;0
1302306;0;53.6;67.68;8.41;10.6;2.2;0;17.76;0;1.1;0
1302405;52.55;60.92;65.27;4.7;13.3;2.1;0;17.09;1.1;0.5;0
1302504;39.9;72.86;77.77;7.45;9.6;2.2;5.1;34.77;0.7;0.5;1
1302553;16.56;43.19;101.87;8.85;5.3;0.9;0;26.56;0.4;0;1
1302603;9.92;47.45;72.76;8.13;15.9;1;21.6;50.35;0.9;1.9;15
1302702;29.5;44.9;68.37;6.51;12.8;1.7;25.5;24.49;0.2;0.2;0
1302801;19.02;16.54;71.23;4.03;11.4;0.6;0;19.02;1.7;1.1;0
1302900;62.52;72.48;64.34;6.72;12.6;2.3;7.8;15;1.3;1.3;0
1303007;56.02;48.72;80.54;5.46;16.4;1.6;0;20.14;1.1;1.6;0
1303106;55.62;96.74;83.8;8.85;9.8;3.3;17.4;20.66;0.3;1.6;0
1303205;21.68;37.7;52.75;8.78;24.5;2;38.2;32.82;1.4;0.7;0
1303304;36.41;47.49;49.08;4.05;14.5;1.9;25.3;22.53;0.9;2.3;0
1303403;35.38;72.73;81.37;6.78;13.7;2.4;18.6;27.72;1.3;1.6;0
1303502;18.05;15.7;72.37;6.44;8.8;0.6;37.9;8.71;2.2;1.7;0
1303536;100;91.32;95.13;4.7;10.7;2.9;19.6;46.77;1.1;1.8;2
1303569;100;100;91.24;7.22;14.4;4.3;51.5;23.71;1.6;3.1;1
1303601;37.29;32.42;63.25;6.13;11;1.1;32.3;16.45;1.7;0.6;0
