,City
10115,Acrelândia
10116,Bujari
10117,Plácido de Castro
10118,Porto Acre
10119,Rio Branco
10120,Importados/Indefinidos
10121,Maceió
10122,Marechal Deodoro
10123,Palmeira dos Índios
10124,Porto Real do Colégio
10125,Anori
10126,Boca do Acre
10127,Careiro da Várzea
10128,Iranduba
10129,Itacoatiara
10130,Jutaí
10131,Manacapuru
10132,Manaus
10133,Manicoré
10134,Maués
10135,Novo Airão
10136,Parintins
10137,Presidente Figueiredo
10138,Santo Antônio do Içá
10139,São Gabriel da Cachoeira
10140,São Paulo de Olivença
10141,Tabatinga
10142,Tefé
10143,Tonantins
10144,Macapá
10145,Oiapoque
10146,Santana
10147,Adustina
10148,Alagoinhas
10149,Araci
10150,Aurelino Leal
10151,Barra
10152,Barra do Choça
10153,Barra do Rocha
10154,Barreiras
10155,Belmonte
10156,Brumado
10157,Cachoeira
10158,Camacan
10159,Camaçari
10160,Campo Formoso
10161,Canarana
10162,Candeias
10163,Cansanção
10164,Catu
10165,Coaraci
10166,Conceição do Coité
10167,Conceição do Jacuípe
10168,Conde
10169,Dias d'Ávila
10170,Euclides da Cunha
10171,Feira de Santana
10172,Gandu
10173,Gongogi
10174,Ibirataia
10175,Ibotirama
10176,Ilhéus
10177,Importados/Indefinidos
10178,Ipiaú
10179,Itabuna
10180,Itagi
10181,Itagibá
10182,Itajuípe
10183,Itamaraju
10184,Itapebi
10185,Itapetinga
10186,Itarantim
10187,Itatim
10188,Itororó
10189,Ituberá
10190,Jaguaquara
10191,Jequié
10192,Juazeiro
10193,Lauro de Freitas
10194,Medeiros Neto
10195,Nova Soure
10196,Ouriçangas
10197,Palmeiras
10198,Piripá
10199,Pojuca
10200,Porto Seguro
10201,Prado
10202,Rio do Pires
10203,Salvador
10204,Santa Cruz Cabrália
10205,Santa Luzia
10206,Santa Maria da Vitória
10207,Serrinha
10208,Simões Filho
10209,São Domingos
10210,São Francisco do Conde
10211,Teixeira de Freitas
10212,Ubatã
10213,Uruçuca
10214,Utinga
10215,Vitória da Conquista
10216,Amontada
10217,Aquiraz
10218,Aracati
10219,Beberibe
10220,Canindé
10221,Cariús
10222,Cascavel
10223,Catarina
10224,Caucaia
10225,Crateús
10226,Crato
10227,Croatá
10228,Eusébio
10229,Farias Brito
10230,Fortaleza
10231,Fortim
10232,Guaraciaba do Norte
10233,Horizonte
10234,Icapuí
10235,Icó
10236,Iguatu
10237,Importados/Indefinidos
10238,Independência
10239,Ipaporanga
10240,Ipueiras
10241,Itaitinga
10242,Itaiçaba
10243,Itapajé
10244,Itapipoca
10245,Jaguaribe
10246,Juazeiro do Norte
10247,Lavras da Mangabeira
10248,Limoeiro do Norte
10249,Maracanaú
10250,Maranguape
10251,Mauriti
10252,Mombaça
10253,Novo Oriente
10254,Pacatuba
10255,Pedra Branca
10256,Pindoretama
10257,Quixadá
10258,Quixeramobim
10259,Quixeré
10260,Russas
10261,Santa Quitéria
10262,Santana do Acaraú
10263,Senador Pompeu
10264,Senador Sá
10265,Sobral
10266,São Luís do Curu
10267,Tabuleiro do Norte
10268,Tianguá
10269,Várzea Alegre
10270,Brasília
10271,Importados/Indefinidos
10272,Afonso Cláudio
10273,Alto Rio Novo
10274,Aracruz
10275,Boa Esperança
10276,Cachoeiro de Itapemirim
10277,Cariacica
10278,Castelo
10279,Colatina
10280,Fundão
10281,Guarapari
10282,Ibiraçu
10283,Importados/Indefinidos
10284,Itapemirim
10285,Linhares
10286,Nova Venécia
10287,Santa Teresa
10288,Serra
10289,Sooretama
10290,São Gabriel da Palha
10291,São Mateus
10292,São Roque do Canaã
10293,Venda Nova do Imigrante
10294,Viana
10295,Vila Velha
10296,Vitória
10297,Anhanguera
10298,Anápolis
10299,Aparecida de Goiânia
10300,Bela Vista de Goiás
10301,Bom Jesus de Goiás
10302,Caldas Novas
10303,Campestre de Goiás
10304,Catalão
10305,Cidade Ocidental
10306,Goiandira
10307,Goianésia
10308,Goiatuba
10309,Goiânia
10310,Guapó
10311,Hidrolândia
10312,Importados/Indefinidos
10313,Itumbiara
10314,Jataí
10315,Luziânia
10316,Montividiu
10317,Nova Glória
10318,Nova Veneza
10319,Paranaiguara
10320,Pires do Rio
10321,Professor Jamil
10322,Rio Verde
10323,Senador Canedo
10324,Silvânia
10325,São Luís de Montes Belos
10326,Trindade
10327,Valparaíso de Goiás
10328,Vianópolis
10329,Águas Lindas de Goiás
10330,Açailândia
10331,Cachoeira Grande
10332,Cajapió
10333,Cantanhede
10334,Chapadinha
10335,Colinas
10336,Icatu
10337,Imperatriz
10338,Paço do Lumiar
10339,Raposa
10340,Santa Inês
10341,São Benedito do Rio Preto
10342,São José de Ribamar
10343,São Luís
10344,Timon
10345,Urbano Santos
10346,Viana
10347,Alfenas
10348,Alpercata
10349,Araguari
10350,Arcos
10351,Barbacena
10352,Belo Horizonte
10353,Betim
10354,Boa Esperança
10355,Bom Despacho
10356,Borda da Mata
10357,Botelhos
10358,Cambuí
10359,Campo Belo
10360,Campos Altos
10361,Capitólio
10362,Carangola
10363,Carmo da Cachoeira
10364,Carmo do Cajuru
10365,Centralina
10366,Contagem
10367,Coronel Fabriciano
10368,Divinésia
10369,Divinópolis
10370,Esmeraldas
10371,Extrema
10372,Formiga
10373,Frutal
10374,Governador Valadares
10375,Guimarânia
10376,Importados/Indefinidos
10377,Ipaba
10378,Ipatinga
10379,Itabira
10380,Itajubá
10381,Itanhandu
10382,Itapecerica
10383,Itapeva
10384,Janaúba
10385,Jeceaba
10386,João Monlevade
10387,Juiz de Fora
10388,Lagoa da Prata
10389,Lavras
10390,Machado
10391,Manhuaçu
10392,Mariana
10393,Matozinhos
10394,Montes Claros
10395,Muriaé
10396,Mário Campos
10397,Nanuque
10398,Nova Lima
10399,Ouro Fino
10400,Paracatu
10401,Paraisópolis
10402,Pará de Minas
10403,Patos de Minas
10404,Patrocínio
10405,Pirapora
10406,Piumhi
10407,Pouso Alegre
10408,Poços de Caldas
10409,Ribeirão das Neves
10410,Sabará
10411,Santa Luzia
10412,Santa Maria de Itabira
10413,Santana do Paraíso
10414,Santo Antônio do Monte
10415,Sarzedo
10416,Senador Amaral
10417,Serra do Salitre
10418,Sete Lagoas
10419,São João Nepomuceno
10420,São João del Rei
10421,São Lourenço
10422,Timóteo
10423,Toledo
10424,Uberaba
10425,Uberlândia
10426,Ubá
10427,Unaí
10428,Varginha
10429,Vazante
10430,Alcinópolis
10431,Batayporã
10432,Campo Grande
10433,Chapadão do Sul
10434,Corumbá
10435,Dourados
10436,Nova Andradina
10437,Ponta Porã
10438,Rio Verde de Mato Grosso
10439,Sidrolândia
10440,Sonora
10441,Três Lagoas
10442,Alta Floresta
10443,Aripuanã
10444,Campo Novo do Parecis
10445,Canarana
10446,Chapada dos Guimarães
10447,Cuiabá
10448,Cáceres
10449,Importados/Indefinidos
10450,Lambari D'Oeste
10451,Lucas do Rio Verde
10452,Nova Monte Verde
10453,Nova Mutum
10454,Primavera do Leste
10455,Rondonópolis
10456,Sinop
10457,São José dos Quatro Marcos
10458,Tangará da Serra
10459,União do Sul
10460,Várzea Grande
10461,Abaetetuba
10462,Altamira
10463,Ananindeua
10464,Barcarena
10465,Belém
10466,Benevides
10467,Cametá
10468,Castanhal
10469,Goianésia do Pará
10470,Itaituba
10471,Marabá
10472,Marituba
10473,Novo Progresso
10474,Oeiras do Pará
10475,Parauapebas
10476,Santarém
10477,Santo Antônio do Tauá
10478,São Geraldo do Araguaia
10479,Tucuruí
10480,Bayeux
10481,Cabedelo
10482,Campina Grande
10483,Igaracy
10484,João Pessoa
10485,Junco do Seridó
10486,Patos
10487,Santa Rita
10488,Serra Branca
10489,Sousa
10490,Abreu e Lima
10491,Aliança
10492,Arcoverde
10493,Belo Jardim
10494,Bom Conselho
10495,Bom Jardim
10496,Cabo de Santo Agostinho
10497,Cachoeirinha
10498,Camaragibe
10499,Capoeiras
10500,Carpina
10501,Caruaru
10502,Catende
10503,Fernando de Noronha
10504,Frei Miguelinho
10505,Garanhuns
10506,Goiana
10507,Igarassu
10508,Importados/Indefinidos
10509,Ipojuca
10510,Ipubi
10511,Jaboatão dos Guararapes
10512,João Alfredo
10513,Lagoa do Carro
10514,Limoeiro
10515,Macaparana
10516,Moreno
10517,Olinda
10518,Palmares
10519,Passira
10520,Paudalho
10521,Paulista
10522,Petrolina
10523,Pombos
10524,Recife
10525,Salgueiro
10526,Serra Talhada
10527,São Caitano
10528,São Lourenço da Mata
10529,Timbaúba
10530,Vitória de Santo Antão
10531,Campo Maior
10532,Parnaíba
10533,Piracuruca
10534,São José do Divino
10535,Teresina
10536,Almirante Tamandaré
10537,Arapongas
10538,Araruna
10539,Araucária
10540,Assis Chateaubriand
10541,Balsa Nova
10542,Bandeirantes
10543,Cambé
10544,Campina Grande do Sul
10545,Campina da Lagoa
10546,Campo Largo
10547,Campo Magro
10548,Campo Mourão
10549,Cascavel
10550,Castro
10551,Chopinzinho
10552,Cianorte
10553,Colombo
10554,Contenda
10555,Cornélio Procópio
10556,Curitiba
10557,Faxinal
10558,Fazenda Rio Grande
10559,Foz do Iguaçu
10560,Francisco Beltrão
10561,Goioerê
10562,Guaraniaçu
10563,Guarapuava
10564,Guaíra
10565,Ibaiti
10566,Ibema
10567,Importados/Indefinidos
10568,Iretama
10569,Ivaiporã
10570,Lapa
10571,Leópolis
10572,Londrina
10573,Mandirituba
10574,Manoel Ribas
10575,Marechal Cândido Rondon
10576,Maringá
10577,Mariópolis
10578,Marumbi
10579,Matinhos
10580,Medianeira
10581,Paiçandu
10582,Palmas
10583,Palmeira
10584,Paranaguá
10585,Paranavaí
10586,Pato Branco
10587,Peabiru
10588,Pinhais
10589,Pinhão
10590,Piraquara
10591,Ponta Grossa
10592,Primeiro de Maio
10593,Quatiguá
10594,Quatro Barras
10595,Quitandinha
10596,Rio Branco do Sul
10597,Rio Negro
10598,Rolândia
10599,Santa Fé
10600,Sarandi
10601,Sertaneja
10602,São José dos Pinhais
10603,São João do Ivaí
10604,São Manoel do Paraná
10605,Telêmaco Borba
10606,Terra Boa
10607,Terra Rica
10608,Toledo
10609,Umuarama
10610,União da Vitória
10611,Verê
10612,Vitorino
10613,Angra dos Reis
10614,Araruama
10615,Arraial do Cabo
10616,Barra Mansa
10617,Barra do Piraí
10618,Belford Roxo
10619,Bom Jardim
10620,Bom Jesus do Itabapoana
10621,Cabo Frio
10622,Cachoeiras de Macacu
10623,Campos dos Goytacazes
10624,Cantagalo
10625,Casimiro de Abreu
10626,Duque de Caxias
10627,Guapimirim
10628,Iguaba Grande
10629,Importados/Indefinidos
10630,Itaboraí
10631,Itaguaí
10632,Itaperuna
10633,Itatiaia
10634,Japeri
10635,Macaé
10636,Magé
10637,Mangaratiba
10638,Maricá
10639,Mesquita
10640,Miguel Pereira
10641,Nilópolis
10642,Niterói
10643,Nova Friburgo
10644,Nova Iguaçu
10645,Paracambi
10646,Paraty
10647,Paraíba do Sul
10648,Paty do Alferes
10649,Petrópolis
10650,Porciúncula
10651,Porto Real
10652,Quatis
10653,Queimados
10654,Resende
10655,Rio Bonito
10656,Rio das Flores
10657,Rio das Ostras
10658,Rio de Janeiro
10659,Sapucaia
10660,Seropédica
10661,Sumidouro
10662,São Francisco de Itabapoana
10663,São Gonçalo
10664,São João da Barra
10665,São João de Meriti
10666,São Pedro da Aldeia
10667,Tanguá
10668,Teresópolis
10669,Trajano de Moraes
10670,Três Rios
10671,Valença
10672,Volta Redonda
10673,Apodi
10674,Areia Branca
10675,Açu
10676,Baía Formosa
10677,Caicó
10678,Caraúbas
10679,Carnaubais
10680,Ceará-Mirim
10681,Extremoz
10682,Importados/Indefinidos
10683,Luís Gomes
10684,Macaíba
10685,Monte Alegre
10686,Mossoró
10687,Natal
10688,Parnamirim
10689,Passa e Fica
10690,Santo Antônio
10691,São Gonçalo do Amarante
10692,São José de Mipibu
10693,São Pedro
10694,Taipu
10695,Tenente Ananias
10696,Tibau
10697,Ariquemes
10698,Jaru
10699,Ji-Paraná
10700,Ouro Preto do Oeste
10701,Porto Velho
10702,Rolim de Moura
10703,Vilhena
10704,Alto Alegre
10705,Boa Vista
10706,Bonfim
10707,Cantá
10708,Alegrete
10709,Alvorada
10710,Anta Gorda
10711,Arroio do Sal
10712,Arroio dos Ratos
10713,Bagé
10714,Bento Gonçalves
10715,Bom Retiro do Sul
10716,Cachoeira do Sul
10717,Cachoeirinha
10718,Camaquã
10719,Campo Bom
10720,Canguçu
10721,Canoas
10722,Capão da Canoa
10723,Capão do Leão
10724,Carlos Barbosa
10725,Caxias do Sul
10726,Cerro Grande do Sul
10727,Charqueadas
10728,Cidreira
10729,Cruzeiro do Sul
10730,Dois Irmãos
10731,Dom Pedrito
10732,Eldorado do Sul
10733,Encantado
10734,Erechim
10735,Esteio
10736,Estrela
10737,Estância Velha
10738,Farroupilha
10739,Garibaldi
10740,Glorinha
10741,Gravataí
10742,Guaíba
10743,Harmonia
10744,Ivoti
10745,Lajeado
10746,Marau
10747,Minas do Leão
10748,Montenegro
10749,Nova Palma
10750,Novo Hamburgo
10751,Osório
10752,Paraí
10753,Pareci Novo
10754,Passo Fundo
10755,Pelotas
10756,Piratini
10757,Porto Alegre
10758,Rio Grande
10759,Rolante
10760,Sananduva
10761,Sant'Ana do Livramento
10762,Santa Cruz do Sul
10763,Santa Maria
10764,Santa Rosa
10765,Santiago
10766,Santo Antônio da Patrulha
10767,Sapiranga
10768,Sapucaia do Sul
10769,Sarandi
10770,Serafina Corrêa
10771,São Domingos do Sul
10772,São Gabriel
10773,São Jorge
10774,São Leopoldo
10775,São Lourenço do Sul
10776,São Sebastião do Caí
10777,Tabaí
10778,Taquara
10779,Taquari
10780,Torres
10781,Tramandaí
10782,Tupandi
10783,Uruguaiana
10784,Vacaria
10785,Viamão
10786,Vila Maria
10787,Anita Garibaldi
10788,Antônio Carlos
10789,Araranguá
10790,Aurora
10791,Balneário Arroio do Silva
10792,Balneário Camboriú
10793,Balneário Gaivota
10794,Balneário Piçarras
10795,Barra Velha
10796,Biguaçu
10797,Blumenau
10798,Botuverá
10799,Braço do Norte
10800,Brusque
10801,Camboriú
10802,Canelinha
10803,Caçador
10804,Chapecó
10805,Cocal do Sul
10806,Criciúma
10807,Florianópolis
10808,Forquilhinha
10809,Garopaba
10810,Gaspar
10811,Governador Celso Ramos
10812,Gravatal
10813,Guabiruba
10814,Guaramirim
10815,Imbituba
10816,Importados/Indefinidos
10817,Indaial
10818,Irati
10819,Itajaí
10820,Itapema
10821,Itapiranga
10822,Içara
10823,Jaguaruna
10824,Jaraguá do Sul
10825,Joaçaba
10826,Joinville
10827,Lages
10828,Laguna
10829,Mafra
10830,Massaranduba
10831,Morro da Fumaça
10832,Navegantes
10833,Nova Trento
10834,Orleans
10835,Palhoça
10836,Papanduva
10837,Paulo Lopes
10838,Pedras Grandes
10839,Pescaria Brava
10840,Pomerode
10841,Porto Belo
10842,Rancho Queimado
10843,Rio Negrinho
10844,Rio Rufino
10845,Sangão
10846,Santa Rosa de Lima
10847,Santo Amaro da Imperatriz
10848,Schroeder
10849,Siderópolis
10850,Sombrio
10851,São Bento do Sul
10852,São Domingos
10853,São Francisco do Sul
10854,São José
10855,São Lourenço do Oeste
10856,São Ludgero
10857,São Pedro de Alcântara
10858,Tangará
10859,Tijucas
10860,Timbé do Sul
10861,Timbó
10862,Tubarão
10863,Urussanga
10864,Vidal Ramos
10865,Videira
10866,Águas Mornas
10867,Aracaju
10868,Capela
10869,Itabaiana
10870,Nossa Senhora da Glória
10871,Pacatuba
10872,Propriá
10873,Simão Dias
10874,Adamantina
10875,Agudos
10876,Americana
10877,Araraquara
10878,Araras
10879,Araçatuba
10880,Araçoiaba da Serra
10881,Artur Nogueira
10882,Arujá
10883,Assis
10884,Atibaia
10885,Avaré
10886,Bady Bassitt
10887,Barra do Turvo
10888,Barretos
10889,Barueri
10890,Batatais
10891,Bauru
10892,Bebedouro
10893,Birigui
10894,Boituva
10895,Botucatu
10896,Bragança Paulista
10897,Brodowski
10898,Cachoeira Paulista
10899,Caieiras
10900,Cajamar
10901,Campinas
10902,Caraguatatuba
10903,Carapicuíba
10904,Catanduva
10905,Caçapava
10906,Cedral
10907,Cotia
10908,Cravinhos
10909,Cubatão
10910,Diadema
10911,Dracena
10912,Eldorado
10913,Embu das Artes
10914,Embu-Guaçu
10915,Ferraz de Vasconcelos
10916,Franca
10917,Francisco Morato
10918,Franco da Rocha
10919,Guararapes
10920,Guararema
10921,Guaratinguetá
10922,Guarujá
10923,Guarulhos
10924,Hortolândia
10925,Ibiúna
10926,Ilha Comprida
10927,Ilhabela
10928,Importados/Indefinidos
10929,Indaiatuba
10930,Iracemápolis
10931,Itanhaém
10932,Itapecerica da Serra
10933,Itapetininga
10934,Itapeva
10935,Itapevi
10936,Itapira
10937,Itaquaquecetuba
10938,Itararé
10939,Itatiba
10940,Itatinga
10941,Itu
10942,Itupeva
10943,Jaboticabal
10944,Jacareí
10945,Jaci
10946,Jaguariúna
10947,Jales
10948,Jandira
10949,Jaú
10950,Joanópolis
10951,José Bonifácio
10952,Jundiaí
10953,Laranjal Paulista
10954,Lençóis Paulista
10955,Limeira
10956,Louveira
10957,Mairiporã
10958,Marília
10959,Matão
10960,Mauá
10961,Mirassol
10962,Mococa
10963,Mogi Guaçu
10964,Mogi das Cruzes
10965,Monte Alto
10966,Nova Odessa
10967,Olímpia
10968,Orlândia
10969,Osasco
10970,Ourinhos
10971,Pariquera-Açu
10972,Paulínia
10973,Pedra Bela
10974,Penápolis
10975,Peruíbe
10976,Pindamonhangaba
10977,Pindorama
10978,Piracicaba
10979,Pirajuí
10980,Porto Feliz
10981,Porto Ferreira
10982,Poá
10983,Praia Grande
10984,Presidente Prudente
10985,Presidente Venceslau
10986,Promissão
10987,Ribeirão Pires
10988,Ribeirão Preto
10989,Rio Claro
10990,Rio Grande da Serra
10991,Salto
10992,Salto de Pirapora
10993,Santa Branca
10994,Santa Bárbara d'Oeste
10995,Santa Cruz do Rio Pardo
10996,Santa Isabel
10997,Santana de Parnaíba
10998,Santo André
10999,Santos
11000,Sertãozinho
11001,Sorocaba
11002,Sumaré
11003,Suzano
11004,São Bernardo do Campo
11005,São Caetano do Sul
11006,São Carlos
11007,São José do Rio Pardo
11008,São José do Rio Preto
11009,São José dos Campos
11010,São João da Boa Vista
11011,São Manuel
11012,São Miguel Arcanjo
11013,São Paulo
11014,São Pedro
11015,São Roque
11016,São Sebastião
11017,São Vicente
11018,Taboão da Serra
11019,Tanabi
11020,Tatuí
11021,Taubaté
11022,Terra Roxa
11023,Tupã
11024,Valinhos
11025,Vargem Grande Paulista
11026,Vinhedo
11027,Votorantim
11028,Votuporanga
11029,Águas de Lindóia
11030,Águas de São Pedro
11031,Araguaína
11032,Dianópolis
11033,Gurupi
11034,Palmas
